Table 1
Site,Latitude,Longitude,Labcode,Material,14C age ± 1σ,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age ± 1σ,,
Piermont Tidal Marsh,41.025,73.900,QC-730,Salt peat,3050 ± 100,,3455-2959,-5.26,0.81,Pardi et al. (1984),3,3050,100,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-738,Salt peat,3320 ± 140,,3921-3221,-6.74,0.82,Pardi et al. (1984),3,3320,140,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-262,Salt peat,3460 ± 100,,3975-3475,-4.86,0.81,Pardi et al. (1984),3,3460,100,-73.900
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Piermont,41.136,73.894,Not Stated,C. vir,3510 ± 35,,3412-3048,-11.40,0.12,Slagle et al. (2006),4,3510,35,-73.894
Piermont,41.093,73.886,Not Stated,C. vir,2655 ± 35,,2335-2003,-11.97,0.11,Slagle et al. (2006),4,2655,35,-73.886
Piermont,41.056,73.896,Not Stated,C. vir,2955 ± 45,,2728-2354,-6.57,0.12,Slagle et al. (2006),4,2955,45,-73.896
Piermont,41.056,73.896,Not Stated,C. vir,3375 ± 35,,3262-2864,-8.54,0.12,Slagle et al. (2006),4,3375,35,-73.896
Piermont,41.048,-73.896,Not Stated,C. vir,3500 ± 40,,3402-3022,-8.18,0.12,Slagle et al. (2006),4,3500,40,73.896
Westway,40.726,74.011,QC-1184,Marine shell,5540 ± 160,,6189-5435,-23.25,0.59,Pardi et al. (1984),3,5540,160,-74.011
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Constitution Island,41.406,73.948,QC-1040,basal peat,6030 ± 290,,7477-6287,-6.85,0.56,Pardi et al. (1984),3,6030,290,-73.948
Cedar Pond Brook Marsh,41.225,73.967,QC-771,Wood,2890 ± 130,,3348-2768,-2.02,0.54,Pardi et al. (1984),2,2890,130,-73.967
Constitution Island,41.406,73.942,QC-691,Fresh peat,2320 ± 500,,3559-1283,0.03,0.54,Pardi et al. (1984),1,2320,500,-73.942
Constitution Island,41.406,73.942,QC-690,Peat,1440 ± 100,,1558-1146,-1.02,0.54,Pardi et al. (1984),3,1440,100,-73.942
Piermont Tidal Marsh,41.025,73.900,QC-731,Wood,3530 ± 110,,4145-3489,-3.93,0.53,Pardi et al. (1984),1,3530,110,-73.900
Roa Hook,41.299,73.947,QC-566,Wood,4660 ± 100,,5593-5049,-5.74,0.54,Pardi et al. (1984),2,4660,100,-73.947
Roa Hook,41.299,73.947,QC-565,Wood,5470 ± 140,,6544-5928,-7.47,0.54,Pardi et al. (1984),2,5470,140,-73.947
Roa Hook,41.299,73.947,QC-573,wood,6230 ± 120,,7419-6807,-9.67,0.54,Pardi et al. (1984),2,6230,120,-73.947
Roa Hook,41.299,73.947,QC-722,Wood,2360 ± 100,,2719-2153,-1.22,0.54,Pardi et al. (1984),2,2360,100,-73.947
Westway,40.726,74.012,QC-1026,Peat,9170 ± 230,,11087-9681,-21.87,0.64,Pardi et al. (1984),3,9170,230,-74.012
Westway,40.725,74.011,QC-1029,Peat,8190 ± 130,,9477-8729,-18.18,0.63,Pardi et al. (1984),3,8190,130,-74.011
Westway,40.723,74.016,QC-1028,Peat,8750 ± 170,,10222-9486,-20.29,0.67,Pardi et al. (1984),3,8750,170,-74.016
Barclay,40.717,74.000,L-562,Wood,6500 ± 100,,7581-7183,-13.22,0.25,Olson and Broecker (1961),2,6500,100,-74.000
Westway,40.761,74.013,QC-1183,Organic silt,9540 ± 120,,11201-10525,-35.50,0.71,Pardi et al. (1984),3,9540,120,-74.013
Westway,40.741,74.011,QC-1321,Organic silt,7920 ± 200,,9395-8371,-23.36,0.65,Pardi et al. (1984),3,7920,200,-74.011
Westway,40.724,74.016,QC-1380,Organic silt,8960 ± 270,,11052-9432,-20.27,0.64,Pardi et al. (1984),3,8960,270,-74.016
Westway,40.726,74.016,QC-1389,Organic silt,7650 ± 190,,8991-8051,-20.44,0.62,Pardi et al. (1984),3,7650,190,-74.016
Westway,40.725,74.016,QC-1374,Organic silt,8690 ± 190,,10231-9309,-23.36,0.65,Pardi et al. (1984),3,8690,190,-74.016
Piermont Tidal Marsh,41.025,73.900,QC-809,Peat,6840 ± 230,,8162-7294,-10.47,0.59,Pardi et al. (1984),3,6840,230,-73.900
,,,,,,,,,,,,,,
Long Island,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Caumsett Marsh,40.942,73.481,QC-689,Salt peat,780 ± 120,,926-548,-0.84,0.92,Pardi et al. (1984),3,780,120,-73.481
Caumsett Marsh,40.942,73.481,QC-687,Salt peat,660 ± 120,,904-482,-2.04,0.92,Pardi et al. (1984),3,660,120,-73.481
Caumsett Marsh,40.942,73.481,QC-688,Salt peat,760 ± 140,,953-515,-2.05,0.92,Pardi et al. (1984),3,760,140,-73.481
College Point Marsh,40.796,73.831,QC-267,Salt peat,5650 ± 170,,6848-6008,-12.76,0.82,Pardi et al. (1984),3,5650,170,-73.831
College Point Marsh,40.796,73.831,QC-265,Salt peat,6370 ± 100,,7469-7017,-18.11,0.82,Pardi et al. (1984),3,6370,100,-73.831
College Point Marsh,40.796,73.831,QC-269,Salt peat,8100 ± 100,,9302-8644,-19.81,0.84,Pardi et al. (1984),3,8100,100,-73.831
College Point Marsh,40.796,73.831,QC-266,Salt peat,7120 ± 240,,8393-7517,-17.76,0.83,Pardi et al. (1984),3,7120,240,-73.831
Eatons Neck,40.949,73.395,QC-679,Salt peat,1585 ± 110,,1720-1292,-1.34,0.91,Cinquemani et al. (1982),3,1585,110,-73.395
Eatons Neck,40.949,73.395,QC-681,Salt peat,370 ± 120,,642-0,-0.64,0.92,Cinquemani et al. (1982),3,370,120,-73.395
Eatons Neck,40.949,73.395,QC-682,Salt peat,2520 ± 85,,2752-2360,-4.84,0.92,Cinquemani et al. (1982),3,252+,85,-73.395
LI- south shore,41.023,72.603,Not Stated,Salt peat,7585 ± 125,,8637-8057,-16.98,0.79,Field et al. (1979),1,7585,125,-72.603
NY- Riverhead,40.900,72.617,L-863A,Salt peat,930 ± 150,,1175-565,-1.19,0.54,Redfield (1967),3,930,150,-72.617
Shelter Island,41.046,72.314,QC-1084,Salt peat,850 ± 150,,1057-545,-1.23,0.55,Pardi et al. (1984),3,850,150,-72.314
Mt. Sinai Harbor,40.949,73.031,QC-190,Salt peat,2180 ± 100,,2357-1903,-4.57,1.01,Cinquemani et al. (1982),3,2180,100,-73.031
Pelham Bay Park,40.868,73.793,QC-295,Salt peat,1800 ± 90,,1927-1527,-1.99,0.92,Pardi et al. (1984),3,1800,90,-73.793
Roosevelt Ave,40.800,73.800,QC-306,Salt peat,7980 ± 390,,9766-7982,-15.51,0.82,Pardi et al. (1984),3,7980,390,-73.800
Cedar Beach Suffolk Co,40.617,73.383,QC-314,Salt peat,5060 ± 120,,6177-5585,-10.59,0.74,Pardi and Newman (1980),3,5060,120,-73.383
Wantagh- Nassau Co,40.650,73.517,QC-315,Salt peat,1020 ± 100,,1172-732,-1.61,0.74,Pardi and Newman (1980),3,1020,100,-73.517
Wantagh- Nassau Co,40.650,73.517,QC-316,Salt peat,300 ± 90,,518-0,-0.76,0.74,Pardi and Newman (1980),3,300,90,-73.517
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Gardiners Bay,41.192,72.192,I-1663,Undiff peat,6575 ± 125,,7670-7260,-11.87,0.80,Field et al. (1979),3,6575,125,-72.192
Pelham Bay,40.870,73.790,C-943,Stump,2830 ± 220,,3452-2364,-1.88,0.16,Redfield and Rubin (1962),2,2830,220,-73.790
Riverhead,40.900,72.617,I-2077,Fresh peat,8070 ± 130,,9398-8596,-2.77,0.42,Redfield (1967),3,8070,130,-72.617
Shelter Island,41.046,72.314,QC1083A&B,Peat,3590 ± 130,,4288-3560,-5.96,0.42,Pardi et al. (1984),3,3590,130,-72.314
South Long Island,40.748,72.447,I-7434,Fresh peat,5585 ± 110,,6627-6131,-10.39,0.80,Field et al. (1979),3,5585,110,-72.447
NY/NJ Border,40.460,74.180,QC-1399,Organic sediment,2700 ± 150,,3207-2363,-0.88,0.16,Pardi et al. (1984),3,2700,150,-74.180
,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Brigantine City- NJ,39.426,74.390,Y-1284,Salt peat,5890 ± 100,,6951-6453,-12.95,0.77,Stuiver and Daddario (1963),3,5890,100,-74.390
Brigantine NWR,39.483,74.424,Y-1281,Salt peat,3000 ± 90,,3387-2929,-4.65,0.77,Stuiver and Daddario (1963),3,3000,90,-74.424
Brigantine NWR,39.479,74.419,Y-1282,Salt peat,3830 ± 100,,4517-3929,-7.35,0.77,Stuiver and Daddario (1963),3,3830,100,-74.419
Brigantine NWR,39.454,74.405,Y-1283,Salt peat,4760 ± 80,,5643-5315,-10.25,0.78,Stuiver and Daddario (1963),3,4760,80,-74.405
Brigantine NWR,39.485,74.426,Y-1331,Salt peat,1890 ± 40,,1922-1720,-2.55,0.77,Stuiver and Daddario (1963),3,1890,40,-74.426
Great Bay,39.561,74.349,Not Stated,Salt peat,3035 ± 120,,3475-2879,-4.05,0.77,Psuty et al. (1986),3,3035,120,-74.349
Great Bay,39.522,74.324,Not Stated,Salt peat,4495 ± 125,,5565-4843,-8.35,0.78,Psuty et al. (1986),3,4495,125,-74.324
Great Bay,39.522,74.324,Not Stated,Salt peat,4175 ± 145,,5264-4256,-8.35,0.78,Psuty et al. (1986),3,4175,145,-74.324
Sea Island City,39.200,74.700,QC-850,Salt peat,920 ± 160,,1177-559,-1.31,0.80,Cinquemani et al. (1982),3,920,160,-74.700
Sea Island City,39.200,74.700,QC-851,Salt peat,2345 ± 100,,2715-2149,-2.81,0.80,Cinquemani et al. (1982),3,2345,100,-74.700
Sea Island City,39.200,74.700,QC-853,Salt peat,2760 ± 100,,3204-2720,-4.76,0.80,Cinquemani et al. (1982),3,2760,100,-74.700
Sea Island City,39.200,74.700,QC-854,Salt peat,3440 ± 110,,3981-3445,-5.51,0.81,Cinquemani et al. (1982),3,3440,110,-74.700
Sea Island City,39.200,74.700,QC-855,Salt peat,3960 ± 110,,4816-4092,-7.36,0.81,Cinquemani et al. (1982),3,3960,110,-74.700
Sea lsland City,39.180,74.730,QC-852,Salt peat,2260 ± 100,,2695-1993,-3.51,0.80,Pardi et al. (1984),3,2260,100,-74.730
Brigantine Marsh,39.420,74.354,Not Stated,Salt peat,240 ± 50,-13.2,462-0,-1.70,0.68,Donnelly et al. (2004b),2,240,50,-74.354
Edwin B Forsythe NWR,39.495,74.418,OS-70442,Salt peat,1249 ± 13,-10.1,1263-1147,-2.43,0.28,This publication,1,1249,13,-74.418
Edwin B Forsythe NWR,39.495,74.418,OS-70443,Salt peat,1502 ± 14,-1.7,1407-1349,-2.70,0.28,This publication,1,1502,14,-74.418
Edwin B Forsythe NWR,39.495,74.418,OS-70444,Salt peat,1188 ± 30,-28.7,1228-1004,-2.23,0.28,This publication,1,1188,30,-74.418
Edwin B Forsythe NWR,39.495,74.418,OS-70445,Salt peat,1541 ± 14,-14.6,1379-1517,-2.93,0.28,This publication,1,1541,14,-74.418
Edwin B Forsythe NWR,39.495,74.418,OS-70446,Salt peat,319 ± 13,-12,452-308,-1.52,0.28,This publication,1,319,13,-74.418
Edwin B Forsythe NWR,39.495,74.418,OS-66514,Salt peat,1550 ± 25,-14.4,1521-1383,-3.03,0.28,This publication,1,1550,25,-74.418
Edwin B Forsythe NWR,39.495,74.418,OS-66518,Salt peat,950 ± 30,-13.78,926-794,-2.09,0.28,This publication,1,950,30,-74.418
Little Egg Inlet- NJ,39.412,74.123,GX-2966,Salt peat,7600 ± 300,,9239-7799,-30.15,1.53,Field et al. (1979),1,7600,300,-74.123
Great Bay,39.549,74.342,Not Stated,Salt peat,3050 ± 95,,3448-2972,-6.95,0.78,Psuty et al. (1986),3,3050,95,-74.342
Great Bay,39.510,74.320,OS-34136,Salt peat,1200 ± 35,,1257-1009,-1.45,0.31,Miller et al. (2009),1,1200,35,-74.320
Great Bay,39.510,74.320,OS-34134,Salt peat,2890 ± 30,,3156-2926,-5.11,0.31,Miller et al. (2009),1,2890,30,-74.320
Core 127,39.417,74.256,Not Stated,Salt peat,7690 ± 50,,8581-8401,-17.37,0.60,Miller et al. (2009),3,7690,50,-74.256
Core 127,39.417,74.256,Not Stated,Salt peat,7130 ± 100,,8171-7749,-17.62,0.60,Miller et al. (2009),3,7130,100,-74.256
Brigantine Marsh,39.420,74.354,Not Stated,Salt peat,210 ± 50,-12.4,426-0,-0.85,0.68,Donnelly et al. (2004b),3,210,50,-74.354
Brigantine Marsh,39.420,74.354,Not Stated,Salt peat,340 ± 40,-15.1,488-308,-0.96,0.68,Donnelly et al. (2004b),3,340,40,-74.354
Brigantine Marsh,39.420,74.354,Not Stated,Salt peat,1420 ± 40,-19.6,1386-1284,-2.60,0.68,Donnelly et al. (2004b),3,1420,40,-74.354
Brigantine Marsh,39.420,74.354,Not Stated,Salt peat,450 ± 50,-15.4,617-319,-0.82,0.68,Donnelly et al. (2004b),3,450,50,-74.354
Whale Beach,39.184,74.671,BETA-131489,Sa,230 ± 40,,428-0,-0.94,0.79,Donnelly et al. (2001),2,230,40,-74.671
Whale Beach,39.184,74.671,BETA-129433,Sa,60 ± 40,,266-0,-0.57,0.79,Donnelly et al. (2001),2,60,40,-74.671
Whale Beach,39.184,74.671,BETA-128149,Sa,210 ± 40,,420-0,-0.55,0.79,Donnelly et al. (2001),2,210,40,-74.671
Whale Beach,39.184,74.671,BETA-131490,Sa,220 ± 40,,426-0,-0.66,0.79,Donnelly et al. (2001),2,220,40,-74.671
Whale Beach,39.184,74.671,BETA-129432,Sa,110 ± 40,,274-0,-0.66,0.79,Donnelly et al. (2001),2,110,40,-74.671
Whale Beach,39.184,74.671,BETA-124176,Sa,290 ± 50,,490-0,-0.89,0.79,Donnelly et al. (2001),2,290,50,-74.671
Whale Beach,39.184,74.671,BETA-124177,Sa,300 ± 40,,475-289,-0.79,0.79,Donnelly et al. (2001),2,300,40,-74.671
Cheesequake Marsh,40.400,74.300,QC-845,Salt peat,4820 ± 95,,5741-5319,-10.95,0.86,Cinquemani et al. (1982),3,4820,95,-74.300
Whale Beach,39.184,74.671,BETA-123305,Sa,560 ± 50,,653-513,-1.27,0.79,Donnelly et al. (2001),2,560,50,-74.671
Cheesequake Marsh,40.400,74.300,QC-842,Salt peat,2080 ± 160,,2457-1625,-3.32,0.85,Cinquemani et al. (1982),3,2080,160,-74.300
Cheesequake Marsh,40.400,74.300,QC-844,Salt peat,1210 ± 185,,1510-738,-2.62,0.85,Cinquemani et al. (1982),3,1210,185,-74.300
Cheesequake Marsh,40.400,74.300,QC-847,Salt peat,1960 ± 130,,2306-1572,-2.85,0.85,Cinquemani et al. (1982),3,1960,130,-74.300
Island Beach,39.803,74.094,GX-19017,Salt peat,5625 ± 200,,6883-5947,-10.38,0.67,Miller et al. (2009),3,5625,200,-74.094
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Rainbow Island,39.305,74.585,GX-30879,Elphidium spp.,2580 ± 30,,2235-1921,-4.54,0.18,Miller et al. (2009),4,2580,30,-74.585
Rainbow Island,39.305,74.585,GX-30880,Elphidium spp.,2880 ± 30,,2646-2314,-5.15,0.18,Miller et al. (2009),4,2880,30,-74.585
Rainbow Island,39.305,74.585,GX-30881,Elphidium spp.,3770 ± 40,,3658-3376,-6.98,0.19,Miller et al. (2009),4,3770,40,-74.585
Rainbow Island,39.304,74.588,GX-31527,Elphidium spp.,2330 ± 70,,1957-1561,-3.60,0.18,Miller et al. (2009),4,2330,70,-74.588
Rainbow Island,39.304,74.588,GX-31526,Elphidium spp.,2960 ± 70,,2720-2340,-5.18,0.19,Miller et al. (2009),4,2960,70,-74.588
Cheesequake Marsh,40.439,74.273,Not Stated,Marine shell,4330 ± 460,,5446-3122,-10.29,0.59,Psuty et al. (1986),3,4330,460,-74.273
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Great Bay,39.549,74.342,Not Stated,Undiff peat,6380 ± 355,,7933-6477,-7.89,0.55,Psuty et al. (1986),3,6380,355,-74.342
Great Bay,39.510,74.320,OS-3415,Undiff peat,7340 ± 35,,8287-8027,-7.14,0.19,Miller et al. (2009),3,7340,35,-74.320
Island Beach,39.803,74.094,GX-19018,Undiff peat,4532 ± 58,,5442-4976,0.40,0.18,Miller et al. (2009),3,4532,58,-74.094
Core 3,39.664,74.099,Not Stated,Undiff peat,8800 ± 170,,10242-9502,-3.80,1.09,Miller et al. (2009),3,8800,170,-74.099
Cheesequake Marsh,40.400,74.300,QC-896,Undiff peat,7320 ± 185,,8508-7756,-11.24,0.59,Cinquemani et al. (1982),3,7320,185,-74.300
Cheesequake Marsh,40.439,74.273,Not Stated,Cedar peat,6610 ± 215,,7930-7020,-10.99,0.59,Psuty et al. (1986),2,6610,215,-74.273
Cheesequake Marsh,40.439,74.273,Not Stated,Undiff peat,7735 ± 195,,9087-8163,-11.79,0.59,Psuty et al. (1986),3,7735,195,-74.273
Cheesequake Marsh,40.435,74.281,Not Stated,Cedar peat,6020 ± 215,,7413-6403,-7.59,0.59,Psuty et al. (1986),2,6020,215,-74.281
Union Beach,40.446,74.161,Not Stated,Undiff peat,660 ± 110,,897-497,-0.59,0.58,Psuty et al. (1986),3,660,110,-74.161
Union Beach,40.446,74.161,Not Stated,Undiff peat,2695 ± 145,,3201-2363,-0.54,0.58,Psuty et al. (1986),3,2695,145,-74.161
,,,,,,,,,,,,,,
Inner Delaware,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Leipsic River,39.253,75.460,Beta-118799,Salt peat,970 ± 80,,1055-727,-1.51,0.79,Nikitina et al. (2000),1,970,80,-75.460
Leipsic River,39.251,75.469,GrN-18995,Salt peat,1160 ± 50,,1232-960,-2.81,0.79,Nikitina et al. (2000),1,1160,50,-75.469
Leipsic River,39.429,75.457,Beta-118800,Salt peat,1770 ± 60,,1857-1543,-3.13,0.79,Nikitina et al. (2000),1,1770,60,-75.457
Leipsic River,39.251,75.469,GrN-18994,Salt peat,2030 ± 80,,2302-1818,-3.14,0.79,Nikitina et al. (2000),1,2030,80,-75.469
Leipsic River,39.249,75.469,Beta-118803,Salt peat,2070 ± 80,,2308-1870,-2.79,0.79,Nikitina et al. (2000),1,2070,80,-75.469
Leipsic River,39.235,75.436,Beta-118802,Salt peat,2880 ± 70,,3244-2810,-5.25,0.79,Nikitina et al. (2000),1,2880,70,-75.436
Leipsic River,39.248,75.469,GrA-9719,Salt peat,3320 ± 40,,3676-3452,-5.66,0.79,Nikitina et al. (2000),1,3320,40,-75.469
Leipsic River,39.243,75.442,Beta-117237,Salt peat,3430 ± 70,,3865-3483,-6.86,0.79,Nikitina et al. (2000),1,3430,70,-75.442
Leipsic River,39.246,75.470,GrA-9698,Salt peat,3485 ± 40,,3861-3641,-8.54,0.79,Nikitina et al. (2000),1,3485,40,-75.470
Leipsic River,39.247,75.469,GrA-9693,Salt peat,3530 ± 40,,3912-3694,-7.23,0.79,Nikitina et al. (2000),1,3530,40,-75.469
Leipsic River,39.247,75.469,GrN-18993,Salt peat,3660 ± 30,,4084-3900,-6.61,0.79,Nikitina et al. (2000),1,3660,30,-75.469
Port Mahon,39.125,75.321,I-5955,Salt peat,4090 ± 100,,4851-4299,-8.31,0.85,Belknap (1975),3,4090,100,-75.321
Leipsic River,39.246,75.411,Beta-117239,Salt peat,4490 ± 80,,5318-4872,-11.52,0.79,Nikitina et al. (2000),1,4490,80,-75.411
Port Mahon,39.125,75.321,TEM-172,Salt peat,2020 ± 110,,2307-1721,-5.18,0.58,Marx (1981),3,2020,110,-75.321
Port Mahon,39.180,75.403,TEM-173,Salt peat,2490 ± 80,,2739-2361,-6.06,0.60,Marx (1981),3,2490,80,-75.403
Slaughter Beach,38.905,75.296,I-9230,Salt peat,720 ± 80,,793-539,-1.36,0.85,Kraft (1976),3,720,80,-75.296
Smyrna,39.302,75.598,DC-3_c,Salt peat,1370 ± 110,,1519-1059,-2.71,0.81,Rogers and Pizzuto (1994),3,1370,110,-75.598
Sheppards Island,38.926,75.322,I-9228,Salt peat,1690 ± 85,,1813-1409,-2.37,0.85,Kraft (1976),3,1690,85,-75.322
Bowers,39.049,75.388,P-1687,Salt peat,1952 ± 45,,2003-1743,-2.21,0.85,Belknap (1975),3,1952,45,-75.388
Slaughter Beach,38.886,75.265,I-5205,Spartina,2560 ± 95,,2844-2356,-3.43,0.79,Belknap (1975),2,2560,95,-75.265
St Jones River,39.082,75.445,Beta-176158,Organic sediment,4170 ± 40,-18.2,4835-4577,-9.14,0.80,Leorri et al. (2006),3,4170,40,-75.445
St Jones River,39.073,75.423,Beta-176160,Organic sediment,2790 ± 40,-14.2,2988-2784,-7.34,0.80,Leorri et al. (2006),3,2790,40,-75.423
Bowers,39.052,75.390,P-1686,Salt peat,1950 ± 55,,2036-1736,-4.50,0.80,Belknap (1975),3,1950,55,-75.390
Bowers,39.052,75.390,P-1688,Spartina,2999 ± 59,,3348-3004,-6.02,0.85,Belknap (1975),2,2999,59,-75.390
Bowers,39.056,75.394,I-5927,Salt peat,5205 ± 110,,6273-5723,-16.54,0.86,Belknap (1975),3,5205,110,-75.394
Sheppards Island,38.922,75.313,I-5930,Salt peat,5345 ± 110,,6391-5905,-14.10,1.15,Belknap (1975),3,5345,110,-75.313
St Jones River,39.071,75.431,Beta-176159,Organic sediment,3930 ± 80,-15.6,4781-4095,-6.54,0.80,Leorri et al. (2006),3,3930,80,-75.431
Bowers,39.051,75.394,P-1685,Salt peat,3314 ± 63,,3691-3403,-5.85,0.81,Belknap (1975),3,3314,63,-75.394
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Offshore Bowers,39.087,75.228,I-6674,Marine shell,2685 ± 90,,2428-1906,-11.50,0.52,Belknap (1975),3,2685,90,-75.228
Offshore Bowers,39.087,75.228,I-6675,Marine shell,2855 ± 90,,2687-2141,-11.67,0.51,Belknap (1975),3,2855,90,-75.228
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Smyrna,39.320,75.483,I-6589,Peat,6835 ± 115,,7931-7497,-13.80,0.63,Belknap (1975),3,6835,115,-75.483
Sheppards Island,38.929,75.319,I-9229,Peat,285 ± 75,,508-0,1.07,0.61,Kraft (1976),3,285,75,-75.319
Port Mahon,39.136,75.403,TEM-148,Stump,3450 ± 100,,3972-3468,-5.48,0.60,Ramsey and Baxter (1996),2,3450,100,-75.403
Smyrna,39.243,75.584,Not Stated,Fresh peat,3515 ± 85,,4072-3574,-1.08,0.54,Rogers and Pizzuto (1994),3,3515,85,-75.584
Port Mahon,39.177,75.408,I-5929,Peat,2945 ± 95,,3352-2870,-4.67,0.61,Belknap (1975),3,2945,95,-75.408
Bowers,39.056,75.394,I-5994,Peat,7730 ± 125,,8978-8328,-20.79,0.65,Belknap (1975),3,7730,125,-75.394
St Jones River,39.082,75.445,Beta-179205,Peat,230 ± 60,-25,460-0,-0.63,0.52,Leorri et al. (2006),3,230,60,-75.445
St Jones River,39.090,75.458,Beta-177401,Plant,3790 ± 40,-25.2,4376-3994,-7.13,0.52,Leorri et al. (2006),2,3790,40,-75.458
,,,,,,,,,,,,,,
Outer Delaware,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Horse Island,38.672,75.134,Beta-118808,Salt peat,170 ± 80,,426-0,-0.80,0.65,Nikitina et al. (2000),2,170,80,-75.134
Horse Island,38.672,75.134,Beta-118807,Salt peat,960 ± 50,,961-745,-1.52,0.65,Nikitina et al. (2000),2,960,50,-75.134
Offshore Rehoboth,38.649,75.021,I-5204,Salt peat,7500 ± 135,,8545-8023,-20.19,0.72,Belknap (1975),3,7500,135,-75.021
Great Marsh,38.786,75.172,Beta-14681,Salt peat,80 ± 60,,274-0,-0.80,0.75,Ramsey and Baxter (1996),3,80,60,-75.172
Wolf Glade,38.764,75.097,TEM-158,Spartina,280 ± 60,,496-0,-0.94,0.76,Ramsey and Baxter (1996),2,280,60,-75.097
Great Marsh,38.786,75.171,Beta-14683,Salt peat,670 ± 70,,725-539,-1.20,0.75,Ramsey and Baxter (1996),3,670,70,-75.171
Wolf Glade,38.765,75.099,TEM-164,Spartina,690 ± 100,,892-512,-1.33,0.76,Ramsey and Baxter (1996),2,690,100,-75.099
Wolf Glade,38.764,75.098,TEM-163,Spartina,750 ± 70,,897-555,-1.73,0.76,Ramsey and Baxter (1996),2,750,70,-75.098
Wolf Glade,38.768,75.106,TEM-165,Spartina,760 ± 70,,900-558,-1.79,0.76,Ramsey and Baxter (1996),2,760,70,-75.106
Great Marsh,38.785,75.171,Beta-14684,Salt peat,930 ± 80,,969-689,-1.38,0.75,Ramsey and Baxter (1996),3,930,80,-75.171
Wolf Glade,38.764,75.098,TEM-162,Spartina,930 ± 90,,1048-680,-1.15,0.76,Ramsey and Baxter (1996),2,930,90,-75.098
Great Marsh,38.786,75.172,Beta-14682,Salt peat,950 ± 90,,1052-690,-1.05,0.75,Ramsey and Baxter (1996),3,950,90,-75.172
Wolf Glade,38.761,75.096,TEM-157,Spartina,940 ± 120,,1166-664,-1.55,0.76,Ramsey and Baxter (1996),2,940,120,-75.096
Wolf Glade,38.768,75.106,TEM-166,Spartina,980 ± 120,,1170-682,-1.27,0.76,Ramsey and Baxter (1996),2,980,120,-75.106
Wolf Glade,38.764,75.097,TEM-161,Spartina,1100 ± 90,,1260-798,-1.48,0.76,Ramsey and Baxter (1996),2,1100,90,-75.097
Wolf Glade,38.764,75.097,TEM-160,Spartina,1150 ± 80,,1262-930,-1.94,0.76,Ramsey and Baxter (1996),2,1150,80,-75.097
Great Marsh,38.785,75.171,Beta-14685,Salt peat,1150 ± 80,,1262-930,-1.29,0.75,Ramsey and Baxter (1996),3,1150,80,-75.171
Great Marsh,38.785,75.171,Beta-14686,Salt peat,1370 ± 60,,1387-1175,-1.47,0.75,Ramsey and Baxter (1996),3,1370,60,-75.171
Great Marsh,38.785,75.171,Beta-14687,Salt peat,1650 ± 70,,1712-1390,-1.75,0.75,Ramsey and Baxter (1996),3,1650,70,-75.171
Horse Island,38.670,75.130,I-8118,Spartina,690 ± 85,,772-530,-0.96,0.64,Belknap (1975),2,690,85,-75.130
Rehoboth Bay,38.645,75.072,R-4114,Salt peat,3780 ± 170,,4786-3690,-6.40,0.66,Belknap (1975),3,3780,170,-75.072
Rehoboth Bay,38.637,75.069,R-4113,Salt peat,3130 ± 170,,3805-2871,-4.58,0.72,Belknap (1975),3,3130,170,-75.069
Rehoboth Bay,38.645,75.072,R-4114_a,Salt peat,3520 ± 160,,4241-3405,-5.78,0.71,Belknap (1975),3,3520,160,-75.072
Rehoboth Bay,38.645,75.072,R-4114_b,Salt peat,3890 ± 170,,4822-3892,-5.91,0.76,Belknap (1975),3,3890,170,-75.072
Rehoboth Bay,38.669,75.070,R-4100_b,Salt peat,4860 ± 180,,5991-5053,-9.23,0.73,Belknap (1975),3,4860,180,-75.070
Rehoboth Bay,38.669,75.068,R-4101_c,Salt peat,6190 ± 190,,7459-6639,-13.68,0.67,Belknap (1975),3,6190,190,-75.068
Rehoboth Bay,38.669,75.068,R-4101_a,Salt peat,250 ± 140,,502-0,-1.00,0.72,Belknap (1975),3,250,140,-75.068
Rehoboth Bay,38.669,75.070,R-4100_a,Salt peat,350 ± 130,,630-0,-0.80,0.63,Belknap (1975),3,350,130,-75.070
Wolf Glade,38.753,75.119,GX-16214,Salt peat,1775 ± 150,-21.1,2038-1352,-4.33,0.58,Fletcher et al. (1993),3,1775,150,-75.119
